id,age,salary
1,23,66823
2,23,198373
3,64,82938
4,20,55245
5,35,67660
6,29,56483
7,56,173354
8,58,64758
9,27,171463
10,43,197818
11,28,172165
12,44,62913
13,33,113427
14,25,71427
15,51,115963
16,19,82024
17,41,141233
18,26,100990
19,46,144365
20,27,133994
21,32,81297
22,54,139341
23,44,156476
24,37,128305
25,35,115741
26,62,165305
27,33,147442
28,19,64813
29,29,174943
30,29,144992
31,38,154867
32,53,177981
33,36,66667
34,50,198362
35,38,72778
36,40,115968
37,33,110276
38,32,174342
39,62,142350
40,55,174130
41,59,134829
42,50,143393
43,30,87038
44,54,133330
45,52,158074
46,49,77061
47,64,183062
48,30,154492
49,64,84624
50,42,115347
51,57,170002
52,27,77650
53,61,194319
54,64,146511
55,54,70994
56,28,79595
57,54,167330
58,21,159014
59,53,181127
60,60,59041
61,36,177013
62,59,119661
63,22,174224
64,41,195124
65,32,127376
66,46,75423
67,18,142470
68,58,151026
69,23,150863
70,50,65221
71,19,92981
72,63,54096
73,30,136488
74,48,169240
75,39,140927
76,53,78653
77,40,192880
78,32,158487
79,43,177842
80,35,110398
81,45,119726
82,23,95703
83,21,121015
84,64,115280
85,59,175748
86,54,69330
87,43,106977
88,23,194021
89,37,58599
90,53,72392
91,28,130882
92,55,119198
93,35,137784
94,56,90932
95,45,122731
96,44,145239
97,59,110002
98,51,121982
99,60,176370
100,26,134661
